raw_text,title,denomination,category,date_of_issue,Image
"A commemorative postage stamp on  PANCHAYATI RAJ 

 Date of Issue:  26 Jan 1962
 Denomination: 15 nP
 Category: Institution",PANCHAYATI RAJ,15 nP,Institution,26 Jan 1962,https://postagestamps.gov.in/Images/Stamps1962/26-01-1962.jpg
"A commemorative postage stamp on  GAUHATI REFINERY 

 Date of Issue:  01 Jan 1962
 Denomination: 15 nP
 Category: Institution",GAUHATI REFINERY,15 nP,Institution,01 Jan 1962,https://postagestamps.gov.in/Images/Stamps1962/01-01-1962.jpg
"A commemorative postage stamp on  UNIVERSAL DECLARATION OF HUMAN RIGHTS 15TH ANNIVERSARY - 10TH DECEMBER 1963 

 Date of Issue:  10 Dec 1963
 Denomination: 15 nP
 Category: Event",UNIVERSAL DECLARATION OF HUMAN RIGHTS 15TH ANNIVERSARY - 10TH DECEMBER 1963,15 nP,Event,10 Dec 1963,https://postagestamps.gov.in/Images/Stamps1963/10-12-1963.jpg
"A commemorative postage stamp on  CHILDREN'S DAY 14-11-63 

 Date of Issue:  14 Nov 1963
 Denomination: 15 nP
 Category: Event",CHILDREN'S DAY 14-11-63,15 nP,Event,14 Nov 1963,https://postagestamps.gov.in/Images/Stamps1963/14-11-1963.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : GAUR 

 Date of Issue:  07 Oct 1963
 Denomination: 10 nP
 Category: Thematic",WILD LIFE SERIES : GAUR,10 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-1.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : HIMLAYAN PANDA 

 Date of Issue:  07 Oct 1963
 Denomination: 15 nP
 Category: Thematic",WILD LIFE SERIES : HIMLAYAN PANDA,15 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-2.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : INDIAN ELEPHANT 

 Date of Issue:  07 Oct 1963
 Denomination: 30 nP
 Category: Thematic",WILD LIFE SERIES : INDIAN ELEPHANT,30 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-3.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : TIGER 

 Date of Issue:  07 Oct 1963
 Denomination: 50 nP
 Category: Thematic",WILD LIFE SERIES : TIGER,50 nP,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-4.jpg
"A commemorative postage stamp on  WILD LIFE SERIES : INDIAN LION 

 Date of Issue:  07 Oct 1963
 Denomination: INR 1.00
 Category: Thematic",WILD LIFE SERIES : INDIAN LION,INR 1.00,Thematic,07 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/07-10-1963-5.jpg
"A commemorative postage stamp on  ANNIE BESANT 1837-1933 

 Date of Issue:  01 Oct 1963
 Denomination: 15 nP
 Category: Personality",ANNIE BESANT 1837-1933,15 nP,Personality,01 Oct 1963,https://postagestamps.gov.in/Images/Stamps1963/01-10-1963.jpg
